,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
67,2008,1,17,1,16,21,67,44.75897,-110.45209,2.583,0.9141567029000488
68,2008,1,17,1,17,43,68,44.72918,-110.43291,1.856,1.2899198194214916
69,2008,1,17,1,24,17,69,44.72866,-110.43312,1.89,0.9547735521940456
70,2008,1,17,3,20,2,70,44.71965,-110.43012,1.226,0.8266570640630904
71,2008,1,17,15,55,2,71,44.73744,-110.78984,0.106,1.127082577001792
72,2008,1,18,14,36,20,72,44.77546,-110.93133,3.256,0.9148220091666888
73,2008,1,19,1,49,42,73,44.42652,-110.44739,1.153,0.8959417824567025
74,2008,1,19,1,56,54,74,44.42583,-110.44616,1.562,1.3837157301153464
75,2008,1,19,1,58,0,75,44.4256,-110.44573,1.631,0.9079783741799058
76,2008,1,19,1,58,0,76,44.4256,-110.44573,1.631,0.9079783741799058
77,2008,1,19,2,4,10,77,44.42581,-110.44585,1.643,1.34120119232997
78,2008,1,19,2,5,40,78,44.42555,-110.44548,1.574,1.4007166419571986
79,2008,1,19,2,6,20,79,44.42521,-110.44513,1.65,0.9396169736085652
80,2008,1,19,2,7,1,80,44.42631,-110.44651,1.679,1.2064050482424422
81,2008,1,19,2,9,14,81,44.42548,-110.44548,1.68,1.5812788918813854
82,2008,1,19,2,9,43,82,44.42552,-110.44539,1.752,0.9859291755019484
83,2008,1,21,15,54,0,83,44.76549,-110.92364,4.292,1.45617205058345
84,2008,1,21,20,52,4,84,44.76522,-110.92279,4.3,1.1488926025904649
85,2008,1,24,0,4,7,85,44.64888,-110.47613,1.758,0.8951534784223236
86,2008,1,24,0,56,16,86,44.56943,-110.36444,3.644,0.9455571546860028
87,2008,1,24,1,14,32,87,44.77497,-110.92849,4.142,0.9593241799928096
88,2008,1,24,1,49,55,88,44.56918,-110.36483,3.616,1.0086927325872928
89,2008,1,24,2,54,55,89,44.5698,-110.36463,3.721,1.092188173830506
90,2008,1,24,23,33,43,90,44.53001,-111.00379,9.908,0.8676254832035604
