# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     1.973         1        12          7476
     2.221         4         0          7506
     1.568         0         1          7521
     1.732         0         2          7552
     1.455         1         0          7555
     1.833         0         2          7561
     1.874         2         1          7570
     2.017         0         1          7592
     1.622         1         0          7594
     1.787         0         1          7603
     1.889         2         0          7606
     1.833         0         2          7615
     1.613         0         1          7621
     1.988         2         4          7641
     1.394         0         1          7646
     1.572         0         1          7652
     1.953         1         0          7676
     1.922         4         7          7711
     2.398         2         0          7689
     1.424         0         2          7747
     2.208         2         0          7764
     2.254         1         0          7741
     1.340         0         3          7790
     2.162         1         1          7826
     2.090         4         2          7846
     1.572         0         1          7859
     1.392         1         0          7867
     1.409         0         1          7878
     1.887         4         4          7892
     1.985         0         3          7916
     1.282         1         0          7921
     1.937         0         3          7926
     2.023         0         3          7935
     1.966         3         0          7936
     1.635         1         7          7962
     2.227         1         1          7975
     1.571         0         1          7991
     1.563         1         1          7997
     1.613         0         1          8002
     2.000         1         0          8015
     1.981         4         1          8045
     2.155         5         3          8061
     1.902         3         0          8069
     1.394         1         0          8106
     1.831         0         1          8119
     1.889         1         0          8138
     1.439         0         1          8162
     2.322         1         2          8178
     1.385         1         0          8181
     1.546         1         0          8211
     1.555         1         0          8231
     1.605         1         0          8234
     1.451         1         0          8252
     1.957         1         0          8294
     1.623         1         0          8297
     2.547         3         4          8314
     1.637         1         2          8335
     1.675         1         1          8343
     1.604         1         0          8367
     1.765         1         0          8395
     1.434         1         0          8414
     2.532         7         3          8424
     2.674         0         2          8448
     1.613         0         1          8462
     2.074         1         1          8469
     1.808         2         1          8476
     2.680        29        22          8572
     1.872         0         2          8645
     2.904         2         2          8680
     1.842         0         2          8691
     2.893         1         2          8698
     1.309         1         0          8723
     2.485         1         1          8744
     2.124         1         0          8770
     1.587         0         1          8783
     2.714         2         6          8811
     1.920         0         1          8832
     1.642         0         1          8835
     1.830         3         1          8848
     1.611         0         2          8862
     4.342       434        53          8956
     2.745         4         0          9336
     2.158         3         1          9747
     1.764         0         5          9780
     3.270         8       101         10242
     1.862         1         0          9872
     1.417         2         0         10066
     2.971         5        10         10184
     2.088         2         4         10317
     2.556         3         6         10180
     2.111         4         9         10234
     2.819         9         6         10285
     1.808         1         0         10303
     1.975         0         1         10311
     2.251         1         0         10318
     1.656         1         1         10347
     1.486         1         1         10379
     2.151         1         7         10411
     1.887         1        13         10434
     1.568         1         0         10466
     1.351         0         1         10473
     1.370         1         0         10479
     1.308         1         0         10491
     2.462         1         0         10500
     1.714         1         0         10553
     1.619         0         1         10571
     2.566        14        32         10989
     2.611        14         8         10623
     3.120       124        80         10818
     1.924         1         0         10803
     2.324         1         0         10848
     1.581         0         1         10904
     2.373         2         1         10954
     2.457         1         0         10828
     1.367         0         1         11087
     1.772         3         0         11169
     2.018         2         0         11187
     2.567         6         5         11227
     2.087        24        26         11293
     2.080         1         0         11351
     1.810         1         0         11374
     1.362         1         0         11379
     1.733         1         3         11396
     3.050         4         0         11385
     1.699         1         0         11407
     1.909         0         1         11414
     1.617         1         0         11435
     2.467         2         0         11437
     1.412         0         1         11451
     1.728         1         0         11453
     1.876         7         1         11460
     1.893         4         0         11476
     2.271         0         2         11493
     2.754        12         5         11502
     1.503         3         1         11507
     2.198        13         4         11562
     1.451         2         0         11586
     1.927         0         1         11593
     1.342         1         0         11599
     2.144         2         0         11602
     1.442         2         0         11608
     1.646         1         0         11616
     1.611         0         1         11626
     1.975         4         6         11639
     2.017         1         3         11653
     1.362         0         1         11667
     2.367         2         0         11688
     1.595         1         0         11695
     2.188         1         0         11681
     2.232         0         7         11717
     1.484         1         0         11722
     1.937         0         1         11742
     1.514         1         0         11775
     2.890         2        17         11816
     2.802         1         2         11832
     1.773         1         0         11837
     3.090         3         0         11846
     1.450         0         1         11861
     1.678         1         0         11865
     2.478         6         2         11892
     1.527         0         2         11916
     1.638         3         0         11928
     1.902         1         6         11954
     2.192         2         0         11961
     2.410         4         1         11975
     1.842         0         1         12008
     2.293         3         1         12013
     1.835         0         2         12024
     1.708         2        10         12066
     1.682         1         0         12056
     1.398         1         0         12086
     2.091         0         1         12099
     2.647         6         2         12110
     2.232         1         0         12117
     2.130         1         4         12146
     1.598         0         1         12165
     2.198        11         4         12176
     2.133         5         0         12203
     1.376         1         0         12234
     1.896         0         1         12244
     1.652         2         0         12248
     2.033         4         0         12251
     2.571         3         1         12270
     1.789         0         2         12287
     2.279         8         2         12292
     2.504         3         1         12348
     1.388         1         0         12350
     3.460         2         0         12380
     3.440         1         0         12376
